"cell_type","temporal_label","temporal_id","broad_temp","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC","ozel2021_cluster","putative_hl1","putative_hl2","putative_hl3"
"Tm36","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"Y","N","N"
"Tm37","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"Y","N","N"
"Tm7","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"Y","N","N"
"Tm8b","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"Y","N","N"
"TmY16","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","N","N"
"TmY20","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","projection",TRUE,NA,"Y","N","N"
"TmY31","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"Y","N","N"
"TmY9q","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Form","","","Form","projection",TRUE,NA,"Y","N","N"
"TmY9q__perp","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Unannotated","","","Unannotated","projection",TRUE,NA,"Y","N","N"
"Y1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Y11","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Y12","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Y3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Y4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li14","Hth",1,"Early",0,0,1,1,0,0,"Y","Motion","Notch Off","N","Motion","projection",FALSE,158,"N","N","N"
"Mi1","Hth",1,"Early",1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","intrinsic",FALSE,142,"N","N","N"
"Pm01","Hth",1,"Early",0,1,0,0,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE,163,"N","N","Y"
"Pm02","Between Hth & Hth/Opa",1,"Early",NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE,NA,"N","N","Y"
"Pm03","Hth",1,"Early",0,0,0,0,0,1,"Y","Object","Notch Off","N","Object","intrinsic",FALSE,175,"N","N","Y"
"Pm04","Hth",1,"Early",0,0,1,1,0,0,"N","Object","Notch Off","N","Object","intrinsic",FALSE,NA,"N","N","Y"
"Pm06","Between Hth & Hth/Opa",1,"Early",NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE,NA,"N","N","Y"
"Pm07","Between Hth & Hth/Opa",1,"Early",NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE,NA,"N","N","Y"
"Pm08","Between Hth & Hth/Opa",1,"Early",NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE,NA,"N","N","Y"
"Pm09","Hth",1,"Early",0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE,158,"N","N","Y"
"Pm10","Between Hth & Hth/Opa",1,"Early",NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE,NA,"N","N","Y"
"Pm11","Between Hth & Hth/Opa",1,"Early",NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE,NA,"N","N","Y"
"TmY15","Hth",1,"Early",0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","projection",FALSE,159,"N","N","N"
"Mi4","Hth/Opa",2,"Early",1,1,0,0,1,1,"Y","Color","Notch Off","N","Color","intrinsic",FALSE,164,"N","N","N"
"Pm05","Hth/Opa",2,"Early",0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE,152,"N","N","Y"
"Tm1","Hth/Opa",2,"Early",1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE,140,"N","N","N"
"Tm4","Hth/Opa",2,"Early",1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE,125,"N","N","N"
"Mi9","Opa/Erm",3,"Early",1,1,0,0,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,33,"N","N","N"
"Tm5c","Opa/Erm",3,"Early",1,1,1,1,1,1,"Y","Color","Notch Off","N","Color","projection",FALSE,34,"N","N","N"
"Mi10","Erm/Ey",4,"Early",0,1,0,0,0,0,"Y","Color","Notch On","N","Color","intrinsic",FALSE,116,"N","N","N"
"Tm27","Erm/Ey",4,"Early",0,0,1,1,1,0,"Y","Object","Notch On","N","Object","projection",FALSE,67,"N","N","N"
"Tm3","Erm/Ey",4,"Early",0,1,1,1,1,0,"Y","Motion","Notch On","N","Motion","projection",FALSE,126,"N","N","N"
"Tm33","Erm/Ey",4,"Early",0,0,1,1,0,0,"Y","Color","Notch Off","Y","Color","projection",FALSE,41,"N","N","N"
"Tm5d","Erm/Ey",4,"Early",0,1,0,0,1,0,"Y","Color","Notch Off","N","Color","projection",FALSE,55,"N","N","N"
