"cell_type","temporal_label","temporal_id","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC"
"TmY3","Erm/Ey",4,0,1,1,1,1,0,"Y","Object","Notch On","N","Object","projection",FALSE
"TmY5a","Erm/Ey",4,0,1,0,0,1,0,"Y","Object","Notch Off","N","Object","projection",FALSE
"Tm5d","Erm/Ey",4,0,1,0,0,1,0,"Y","Color","Notch Off","N","Color","projection",FALSE
"Tm5e","Erm/Ey",4,0,1,0,0,1,0,"Y","Color","Notch Off","Y","Color","projection",FALSE
"Tm33","Erm/Ey",4,0,0,1,1,0,0,"Y","Color","Notch Off","Y","Color","projection",FALSE
"Tm2","Ey/Hbn",5,1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE
"Tm21","Ey/Hbn",5,1,1,1,1,1,1,"Y","Object","Notch On","N","Object","projection",FALSE
"Dm10","Ey/Hbn",5,0,1,0,0,0,0,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
"Tm20","Hbn/Opa/Slp",6,0,0,0,0,1,0,"Y","Color","Notch On","N","Color","projection",FALSE
"Tm25","Hbn/Opa/Slp",6,0,0,0,1,1,0,"Y","Object","Notch On","N","Object","projection",FALSE
"Tm5a","Hbn/Opa/Slp",6,0,0,0,1,1,0,"Y","Color","Notch On","N","Color","projection",FALSE
"Tm5b","Hbn/Opa/Slp",6,0,0,0,1,1,0,"Y","Color","Notch On","N","Color","projection",FALSE
"Tm5f","Hbn/Opa/Slp",6,0,0,0,0,1,0,"Y","Color","Notch On","Y","Color","projection",FALSE
"Tm8a","Hbn/Opa/Slp",6,1,0,0,0,0,0,"Y","Color","Notch On","Y","Color","projection",FALSE
"Li06","Hbn/Opa/Slp",6,0,0,0,1,1,0,"Y","Color","Notch On","Y","Color","projection",FALSE
"TmY10","Hbn/Opa/Slp",6,0,1,0,0,0,0,"Y","Color","Notch On","Y","Color","projection",FALSE
"TmY11","Hbn/Opa/Slp",6,1,1,0,0,0,0,"Y","Color","Notch On","Y","Color","projection",FALSE
"TmY14","Hbn/Opa/Slp",6,0,1,0,0,0,0,"Y","Object","Notch Off","N","Object","projection",FALSE
"MTe01a","Hbn/Opa/Slp",6,0,0,1,0,0,0,"Y","Unannotated","Notch Off","N","Unannotated","projection",FALSE
"Dm8b","Hbn/Opa/Slp",6,0,1,0,0,0,0,"Y","Color","Notch Off","N","Color","intrinsic",FALSE
"Dm8a","Hbn/Opa/Slp",6,0,1,0,0,0,0,"Y","Color","Notch Off","N","Color","intrinsic",FALSE
"DmDRA1","Hbn/Opa/Slp",6,0,0,0,0,0,1,"Y","Polarization","Notch Off","N","Polarization","intrinsic",FALSE
"DmDRA2","Hbn/Opa/Slp",6,0,0,0,0,0,1,"Y","Color","Notch Off","N","Color","intrinsic",FALSE
"Sm03","Hbn/Opa/Slp",6,0,0,1,0,0,0,"Y","Color","Notch Off","Y","Color","intrinsic",FALSE
"Dm11","Hbn/Opa/Slp",6,0,0,0,0,1,1,"Y","Color","Notch Off","N","Color","intrinsic",FALSE
"Dm1","Hbn/Opa/Slp",6,0,1,0,0,0,0,"Y","Motion","Notch Off","N","Motion","intrinsic",FALSE
"Dm4","Hbn/Opa/Slp",6,1,1,0,0,0,0,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
"Dm12","Hbn/Opa/Slp",6,1,1,0,0,0,0,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
"Dm9","Hbn/Opa/Slp",6,1,1,0,0,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
"Lai","Hbn/Opa/Slp",6,1,0,0,0,0,1,"Y","Motion","Notch Off","N","Motion","intrinsic",FALSE
"TmY4","Slp/D",7,0,1,1,1,0,0,"Y","Form","Notch On","N","Form","projection",FALSE
"Dm15","Slp/D",7,0,0,0,1,1,0,"Y","Motion","Notch Off","N","Motion","intrinsic",FALSE
"Dm3p","Slp/D",7,0,1,1,1,1,0,"Y","Form","Notch Off","N","Form","intrinsic",FALSE
"Dm3q","Slp/D",7,1,1,0,0,1,1,"Y","Form","Notch Off","N","Form","intrinsic",FALSE
"Dm3v","Slp/D",7,NA,NA,NA,NA,NA,NA,"N","Form","Notch Off","N","Form","intrinsic",FALSE
"T1","D/BH-1",8,1,1,1,1,1,1,"Y","Motion","Notch Off","N","Motion","projection",FALSE
"Mi15","D/BH-1",8,0,0,0,0,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
"Sm02","D/BH-1",8,1,1,0,0,0,0,"Y","Color","Notch Off","Y","Color","intrinsic",FALSE
"Sm01","D/BH-1",8,1,1,0,0,0,0,"Y","Color","Notch Off","Y","Color","intrinsic",FALSE
"Dm2","D/BH-1",8,1,1,1,1,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
